"filename", "language", "C++", "JSON", "YAML", "Dart", "HTML", "Markdown", "Swift", "XML", "Gradle", "Properties", "comment", "blank", "total"
"c:\projects\trendyol_store\lib\pages\main_state.dart", "Dart", 0, 0, 0, 51, 0, 0, 0, 0, 0, 0, 3, 5, 59
"c:\projects\trendyol_store\lib\pages\search_page.dart", "Dart", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 8, 73
"c:\projects\trendyol_store\lib\widgets\app_bar.dart", "Dart", 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"c:\projects\trendyol_store\lib\widgets\card.dart", "Dart", 0, 0, 0, 111, 0, 0, 0, 0, 0, 0, 3, 5, 119
"c:\projects\trendyol_store\linux\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\projects\trendyol_store\linux\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\projects\trendyol_store\linux\main.cc", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\projects\trendyol_store\linux\my_application.cc", "C++", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"c:\projects\trendyol_store\linux\my_application.h", "C++", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\projects\trendyol_store\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 4, 11
"c:\projects\trendyol_store\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\projects\trendyol_store\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\projects\trendyol_store\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\projects\trendyol_store\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\projects\trendyol_store\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\projects\trendyol_store\pubspec.yaml", "YAML", 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 46, 20, 94
"c:\projects\trendyol_store\test\widget_test.dart", "Dart", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\projects\trendyol_store\web\index.html", "HTML", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 16, 6, 60
"c:\projects\trendyol_store\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\projects\trendyol_store\windows\flutter\generated_plugin_registrant.cc", "C++", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\projects\trendyol_store\windows\flutter\generated_plugin_registrant.h", "C++", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\projects\trendyol_store\windows\runner\flutter_window.cpp", "C++", 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\projects\trendyol_store\windows\runner\flutter_window.h", "C++", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\projects\trendyol_store\windows\runner\main.cpp", "C++", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\projects\trendyol_store\windows\runner\resource.h", "C++", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\projects\trendyol_store\windows\runner\utils.cpp", "C++", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\projects\trendyol_store\windows\runner\utils.h", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\projects\trendyol_store\windows\runner\win32_window.cpp", "C++", 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\projects\trendyol_store\windows\runner\win32_window.h", "C++", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 531, 248, 32, 762, 38, 13, 50, 463, 101, 8, 382, 404, 3032
